taxon,life form,habitat,habit,clonality,perennial organ,plant height [m],indumentum,spinescence,succulence,leaf arrangement,leaf architecture,leaf position,leaf shape,leaf apex,leaf base,leaf margin,leaf defence,leaf min width [cm],leaf max width [cm],leaf min length [cm],leaf max length [cm],inflorescence arrangement,flower sex,flower architecture,flower merosity,flower symmetry,flower shape,flower colour,petal fusion,petal colour,reproduction architecture,reproduction system,stamen count,stamen number,stamen arrangement,carpel/ovary number,gynoecium arrangement,heterostyly,pollination,fruit type,fruit structure,fruit dehiscence,fruit shape,fruit colour,dispersule min width [cm],dispersule max width [cm],dispersule min length [cm],dispersule max length [cm],dispersal mode,dispersion axillary,seed colour,seeds max per fruit,seeds min per fruit,seed min width [mm],seed max width [mm],seed min length [mm],seed max length [mm],max seed volume,ploidy,ploidy level,root system,root depth type,root depth [cm],sources
Leontodon taraxacoides subsp. taraxacoides,,,Stem erect ,,,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 2}, 'ecoflora': {'tabular': 0}, 'fna': {'tabular': 0}}"
Leucanthemum vulgare,perennial;perennials;Perennials;hemicryptophyte,"Woodland fringes and clearings and tall forb habitats;Perennial calcareous grassland and basic steppes;Disturbed places, meadows, seeps, clearings;Alpine and subalpine grasslands;Grassland and tall forb habitats;Dry grasslands;Broadleaved deciduous woodland",Stem erect ,Rhizome shortly creeping;epigeogeneous stems,stem;stems;Stems,0.2-0.7;1.0;0.1;0.1-0.3;0.328; 0.4,hairy;glabrous,hairy,,pinnately,sessile,Basal;Cauline,oblanceolate;obovate;spatulate;lanceolate;simple;blunt;oblong;dentate;linear,obtuse,,crenate;toothed;linear,hairy,0.2,3,1.2,8,,,,,,,yellow,,,,gynomonoecious,,,,,,,selfed,,,,,,,,,,   ant;water;   pig;   sheep;   car or other vehicle;   horse;domestic animal;   cattle;   commerce,,,290,100-1000,,,,,,,18,adventitious,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 8, 'tabular': 16}, 'fna': {'text': 13, 'tabular': 1}}"
Linum catharticum,perennials;annual;annuals;hemicryptophyte;strict monocarpic bi-annuals and poly-annuals,"Grassland and tall forb habitats;Calcareous or sandy soils, fields, pastures, roadsides.;Perennial calcareous grassland and basic steppes",Stem erect ;Stem ascending to prostrate ,root-splitters;Seeds;Little or no vegetative spread,stems;Stems,0.25;0.15; 0.05;0.08-0.3;0.05-0.25;0.05,glabrous,glabrous,,,,opposite,oblanceolate;elliptic;obovate;simple;oblong;obtuse,acute;obtuse,,entire;elliptic,glabrous,0.5;0.14,1.2;0.31,0.5,1.2;1.8,cyme,,,,,acuminate;lanceolate;ovate;broader,white,,yellowish;whitish;white,,hermaphrodite,1,,,,,,insect,capsule,,,globose,,,,,,   ant;water;   sheep;   cattle;   shaken fresh water;   commerce,,,10,01-Oct,0.6,1.5,0.6,1.5,,,16,,shallow,0.0-10.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 16}, 'fna': {'text': 19, 'tabular': 1}}"
Listera cordata,geophyte,,Stem erect ,hypogeogeneous stems;rhizomatous;adventitious buds on roots;Little or no vegetative spread;Rhizome,rhizomatous;stem;Stems;Stem;Rhizome,0.06;0.05-0.33;0.065; 0.06;0.2,soft hairs,soft hairs,,,sessile,basal,deltate;simple;ovate;cuneate,acute;mucronate;subcordate;ovate;cuneate,subcordate;cordate;rounded;cuneate,entire;ovate;cuneate,,2,2.5;3.8,2,2.5;4,raceme,,,,,slender,green;purple;yellow,,,,hermaphrodite,,,,,,,selfed,capsule,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 14, 'tabular': 11}, 'fna': {'text': 12, 'tabular': 0}}"
Lobelia urens,perennial;hemicryptophyte,,Stem erect ,Little or no vegetative spread,Stems,0.6;0.2,glabrous,glabrous,,,,,obovate;simple;oblong;linear;obtuse,acute;obtuse,,toothed;linear;serrate,glabrous,7,7,7,7,raceme,,,,,,blue-purple,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,475,100-1000,,,,,,,,fibrous,shallow,0.0-10.0,"{'leda': {'tabular': 1}, 'ecoflora': {'text': 12, 'tabular': 17}, 'fna': {'tabular': 0}}"
Loiseleuria procumbens,evergreen;chamaephyte,Heathland. scrub and tundra habitats;Tundra;Alpine and subalpine grasslands,Stem prostrate ;procumbent;shrub;Stem ascending to prostrate ,Extensively creeping and rooting at nodes;root-splitters;Seeds;epigeogeneous stems,,0.25;0.25; 0.225; 0.03,glabrous,glabrous,,,,opposite,simple;revolute;convex;oblong;obtuse,convex;obtuse,,entire;revolute,thick cuticle,0.2,0.8,0.2,0.8,clusters,,,5-merous,,,pink,,,,hermaphrodite,5,,,,,,insect,,,,,,,,,,   shaken fresh water;water,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'tabular': 0}}"
Lotus corniculatus,perennial;perennials;hemicryptophyte,Grassland and tall forb habitats;Perennial calcareous grassland and basic steppes,Stem erect ;Stem prostrate ;Stem ascending to prostrate ,stoloniferous;adventitious buds on roots;Seeds;seeds;Little or no vegetative spread;root-splitters;seeded;bud,stem;stoloniferous,0.4;0.05;0.1; 0.2; 0.05; 0.225; 0.3; 1.7;0.35000000000000003,pubescent;glabrous,glabrous,,,,,compound,acute,,entire,glabrous,,,,,,,,,,,red;orange;yellow,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,water;   pig;   sheep;   deer;   goat;   horse;   cattle;domestic animal;   shaken fresh water,,,,10-100,,,,,,,,tap root,deep,100,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 6, 'tabular': 16}, 'fna': {'tabular': 0}}"
Lotus uliginosus,perennial;perennials;hemicryptophyte,Reedbeds normally without free-standing water,Stem erect ;Stem ascending to prostrate ,epigeogeneous stems;hypogeogeneous stems;stolons;seeds;Little or no vegetative spread;root-splitters;seeded;bud,stem;stolons,0.6;0.15;0.35,pubescent;glabrous;soft hairs,soft hairs,,,,,compound,acute,,entire,soft hairs,,,,,,,,,,,yellow;brown,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,10-100,,,,,,,,tap root,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 6, 'tabular': 15}, 'fna': {'tabular': 0}}"
Luzula campestris,perennial;perennials;hemicryptophyte,Grassland and tall forb habitats;Sunny clearingsHabitat??;Cultivated areas of gardens and parks,Stem erect ;Stem ascending to prostrate ,rhizomes;hypogeogeneous stems;epigeogeneous stems;Rhizomes;Stolons;seed;Seeds;Rhizome far creeping,Stolons;Rhizomes;rhizomes;Stems,0.15;0.38; 0.16,,,,,,basal,simple,acute,,entire,hairy,0.4,0.4,2.5,15,panicle;clusters;corymbose,,tepals,,,obovate;spherical;acuminate;drooping,chestnut;chestnut brown;brown,,,,hermaphrodite,,,,,,,wind,capsule,,,obtuse;obovoid,,,,,,   car or other vehicle;   ant;domestic animal;   cattle,filaments;filament;awned;hairs,white,1/2;3,1-10;1/2,1,1.3,1,1.3,01-Feb,,12,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 12}, 'fna': {'text': 15, 'tabular': 1}}"
Luzula multiflora,perennial;perennials;hemicryptophyte,Dry grasslands;Broadleaved deciduous woodland;Alpine and subalpine grasslands,Stem erect ,Seeds;rhizomes;Tussock forming graminoid;epigeogeneous stems,rhizomes;Stems,0.1-0.4;0.25; 0.2; 0.1;0.4;0.2,,no,,,,cauline;basal,simple,acute,,entire,hairy,0.6;0.2,0.6,3.5,12,clusters;head;umbellate;glomerules,,tepals,,,slender;straight;ovate;lobed;branches;elongate,chestnut;chestnut brown;blackish;brown,,,,hermaphrodite,,,,,,,wind,capsule,,,spherical,,,,,,   ant;   rabbit;water;   sheep;   goat;   deer;   cattle;domestic animal;   hare,filament;filaments,white,01-Feb,01-Feb,1.1,1.7,1.1,1.7,01-Feb,,36;48,,,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 17, 'tabular': 11}, 'fna': {'text': 15, 'tabular': 0}}"
Luzula pilosa,perennial;hemicryptophyte,Woodland fringes and clearings and tall forb habitats;[Pinus] taiga woodland;Mixed taiga woodland with [Betula];Dry grasslands;Broadleaved deciduous woodland;Coniferous woodland,Stem erect ,Tussock forming graminoid;epigeogeneous stems;hypogeogeneous stems;stolons;seed;Seeds,stem;stolons;Stems,0.15;0.3,,,,,,,broad;simple;truncate,acute,,entire,hairy,0.4,0.4,0.4,0.4,cyme,,,,,branches,chestnut;dark chestnut brown;brown,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   ant;   pig,hairs,,1/2;3,1-10;1/2,,,,,01-Feb,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'tabular': 0}}"
Luzula spicata,perennial;hemicryptophyte,"Tundra;Alpine slopes and heaths, dry or damp situations among grasses, herbs, or lichens, and in subalpine forests",Stem erect ,Seeds;Rhizome shortly creeping;stolons;epigeogeneous stems,stolons;Stem,0.02;0.03-0.33;0.01-0.08;0.2; 0.04;0.2,,,,,,cauline;basal;erect,recurved;linear;simple,recurved;acute,,entire;recurved;linear,hairy,0.1;0.2,0.4;0.2,2,8;15,clusters;spike,,tepals,,,oblong;pointed;drooping,chestnut;chestnut brown;brown,,,,hermaphrodite,,,,,,,wind,capsule,,,ellipsoid,,,,,,   shaken fresh water,awn;filaments;bristle,brown,,,1,1.2,1,1.2,,,24,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 10}, 'fna': {'text': 19, 'tabular': 1}}"
Luzula sylvatica,perennial;perennials;hemicryptophyte,Mixed [Abies] - [Picea] - [Fagus] woodland,Stem erect ;mats;tussocks,Stolons;Seeds;Rhizome shortly creeping;epigeogeneous stems,Stolons;Stem;Stems,0.8;0.325;0.3,,,,,,,point;linear;simple;tapering,acute,,entire;linear,hairy,0.6,1,10,30,,,,,,,chestnut brown,,,,hermaphrodite,,,,,,,wind,,,,ovoid,,,,,,   ant;water;   deer;domestic animal;   commerce,,,,,1,2,1,2,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 10}, 'fna': {'tabular': 0}}"
Lychnis flos-cuculi,perennial;hemicryptophyte,,Stem erect ,root-splitters;Seeds;Little or no vegetative spread;epigeogeneous stems,stem,0.525; 0.3;0.75;0.3,stiff hairs,stiff hairs,,,,,oblanceolate;oblong;lanceolate;simple,acute;obtuse,,entire,glabrous,2,10,2,10,,,,,,,red,,red;white;rose,,hermaphrodite,,,,,,,insect,capsule,,,ovoid;revolute,,,,,,water;   car or other vehicle;   hay making machinery;   standing fresh water;   shaken fresh water;   commerce,hairs,,151,100-1000,0.5,0.7,0.5,0.7,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 18, 'tabular': 14}, 'fna': {'tabular': 0}}"
Lycopus europaeus,perennial;perennials;hemicryptophyte,Water-fringing reedbeds and tall helophytes other than canes,Stem erect ,stem tubers;Rhizome shortly creeping;hypogeogeneous stems;rhizome,rhizome;Stems,1.0;0.3;0.65; 0.75; 0.3,hairy,hairy,,pinnately,,,elliptic;lanceolate;lobed;ovate;simple;triangular,acute;triangular;lobed;ovate,,elliptic;lobed;ovate,,10,10,10,10,,,,,,,white,,,,gynomonoecious,2,,,,,,insect,,,,,,,,,,water;   pig;   sheep;   cattle;domestic animal;   shaken fresh water;   standing fresh water;   trichoptera larva,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 12, 'tabular': 11}, 'fna': {'tabular': 0}}"
Lysimachia thyrsiflora,perennial;perennials;helophyte,"Bogs, swamps, marshes, wet woods",Stem erect ,bulblets;rhizomes;hypogeogeneous stems;rhizomatous;Seeds;Rhizome far creeping,stem;Stems;rhizomes;rhizomatous,0.6;0.45; 0.3; 0.5;0.3,pubescent;glabrous,glabrous,,,sessile;scale;decurrent,whorled;opposite;punctate,elliptic;decurrent;lanceolate;simple;truncate;linear;cuneate;obtuse,cuneate;acute;obtuse,rounded;cuneate,entire;elliptic;linear;cuneate,glabrous;glandular,0.5;5,10;6,5,16;10,racemes,,,,,slender;lanceolate,yellow,,black;yellow;brown,,hermaphrodite,,,,,,,insect,,,,ovoid,,,,,,   shaken fresh water;water;   standing fresh water,filaments,,,,,,,,,,40,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 16, 'tabular': 12}, 'fna': {'text': 19, 'tabular': 1}}"
Lysimachia vulgaris,perennial;perennials;hemicryptophyte,"Gravelly stream banks, wet roadsides;Broadleaved deciduous woodland",Stem erect ,bulblets;rhizomes;hypogeogeneous stems;rhizomatous;Rhizome far creeping,Stems;stems;rhizomes;rhizomatous,0.6;1.009; 0.6; 0.925; 1.05;0.6-1.5;1.5,pubescent;glandular;soft hairs,soft hairs,,,decurrent,whorled;opposite,decurrent;lanceolate;ovate;simple;revolute;acuminate;truncate;cuneate;obtuse,obtuse;acute;ovate;acuminate;cuneate,cuneate,entire;ovate;revolute;acuminate;sinuate;cuneate,soft hairs,1.5;5,12;4,7;5,12,panicles;clusters,,,,,slender;ovate,maroon;yellow,,yellow,,hermaphrodite,,,,,,,insect,,,,,,,,,,bird;water;   commerce,Filaments;filaments,,,,,,,,,,28,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 12}, 'fna': {'text': 19, 'tabular': 1}}"
Lythrum salicaria,perennial;perennials;hemicryptophyte,Broadleaved deciduous woodland;Reedbeds normally without free-standing water,Stem erect ,epigeogeneous stems;hypogeogeneous stems;plant fragments of stem origin;Little or no vegetative spread;root-splitters,,0.6;0.9; 0.625; 0.6;1.2;1.5,pubescent;glabrous;soft hairs,soft hairs,,,sessile,whorled;opposite;alternate,lanceolate;linear;simple,acute,cordate,entire;linear,soft hairs,,,,,spike,,,,,,purple,,purple,,hermaphrodite,12;6;two,,,,,,insect,capsule,,,oblong;ovoid,,,,,,bird;water;   deer;   horse;   cattle;   standing fresh water;   donkey;   commerce,,,,100-1000,,,,,,,,tap root,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 14, 'tabular': 14}, 'fna': {'tabular': 0}}"
Matricaria maritima,perennial;annuals;hemicryptophyte;biennial;strict monocarpic bi-annuals and poly-annuals,,Stem prostrate ;Stem ascending to prostrate ,root-splitters;Little or no vegetative spread,stems,0.24;0.1;0.3;0.5,glabrous,glabrous,,,,,compound;cylindrical;obtuse,obtuse,fleshy;rounded,lobed and toothed,glabrous,,,,,,,,,,,yellow,,,,gynomonoecious,,,,,,,insect,,,,,,,,,,   ant;water;   car or other vehicle;domestic animal;   commerce,,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 7, 'tabular': 12}, 'fna': {'tabular': 0}}"
Melampyrum pratense,annuals;therophyte;annual,Woodland fringes and clearings and tall forb habitats;[Pinus] taiga woodland;Mixed taiga woodland with [Betula];Broadleaved deciduous woodland;Coniferous woodland,Stem erect ,seeded;Little or no vegetative spread,stem;stems,0.08;0.6;0.34; 0.08; 0.3;0.08-0.6,glabrous;hispid;stiff hairs,stiff hairs,,,sessile,,linear;lanceolate;ovate;simple,acute;ovate,,entire;linear;ovate,stiff hairs,2,2.7,7,10,,,,,,leaf-like,green;yellow,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant;water;   shaken fresh water,,,4,01-Oct,,,,,,,,,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 15, 'tabular': 15}, 'fna': {'tabular': 0}}"
Mentha aquatica,perennial;perennials;hemicryptophyte,,Stem erect ;Stem ascending to prostrate ,rooting horizontal stems at or above soil surface;Rhizome far creeping;hypogeogeneous stems,Stems,0.15-0.9;0.9;0.15;0.525; 0.475; 0.15,pubescent;hairy,hairy,,,,,simple,obtuse,,toothed,hairy,,,,,head,,,,,,lilac,,,,gynomonoecious,4,,,,,,insect,,,,,,,,,,water;   sheep;   cattle;   shaken fresh water;   standing fresh water,,,4,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 6, 'tabular': 14}, 'fna': {'tabular': 0}}"
Menyanthes trifoliata,perennials;helophyte,Tundra;aquatic;Cultivated areas of gardens and parks,Stem erect ;Stem prostrate ;Stem ascending to prostrate ,bud;Rhizome far creeping;rhizomes;epigeogeneous stems,rhizomes,0.12;0.3;0.21; 0.2; 0.12,glabrous,glabrous,,,sheathing,,elliptic;simple;obovate;obtuse,subacute;obtuse,,entire;elliptic,glabrous,3.5,20,3.5,20,raceme,,,,,oblong,pink,,,,hermaphrodite,5,,,,,,insect,,,,,,,,,,bird;water;   standing fresh water;   shaken fresh water;fish,,,31,10-100,,,,,,,,adventitious,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 15, 'tabular': 15}, 'fna': {'tabular': 0}}"
Minuartia stricta,perennial;chamaephyte,"Moist, granitic gravels, sedge meadows, heath, alpine or arctic tundra",Stem erect ;mat;procumbent,root-splitters;Seeds;Little or no vegetative spread,stems;stipe;tap root;Taproots;Stems,0.1;0.075; 0.05;0.05,glabrous,glabrous,,,,cauline;tight;proximal,subulate;straight;curved;simple;flat;oblong;linear,curved;straight;acute,rounded,linear;straight;entire;flat,glabrous,0.05,0.15,0.4,1,cymes,,,,,,white,,white,,hermaphrodite,,,,,,,selfed,,,,,,,,,,,,brown,,,0.4;0.75,0.6;0.85,0.4;0.75,0.6;0.85,,,22,Taproots;tap root,,,"{'leda': {'tabular': 3}, 'ecoflora': {'text': 12, 'tabular': 12}, 'fna': {'text': 22, 'tabular': 1}}"
Minuartia verna,perennial;chamaephyte,Heavy-metal grassland,cushion;Stem ascending to prostrate ,root-splitters;Seeds;Little or no vegetative spread;rooting horizontal stems at or above soil surface,tap root,0.15;0.05;0.075,glandular hairs,glandular hairs,,,,,subulate;linear;curved;simple,curved;apiculate;acute,,entire;linear,,0.6,1.5,0.6,1.5,cyme,,,,,,white,,white,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,25,10-100,0.6,0.9,0.6,0.9,,,,tap root,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 18, 'tabular': 14}, 'fna': {'tabular': 0}}"
Molinia caerulea,perennial;perennials;hemicryptophyte,Broadleaved deciduous woodland,Stem erect ;tussocks,Tussock forming graminoid;hypogeogeneous stems,,0.15;1.05; 0.525;1.5,,,,,,,point;flat;simple;tapering,acute,rounded,entire;flat,glabrous,0.3;0.2,1.2;1,10,45,,,,,,,green,,,,hermaphrodite,3,,,,,,wind,,,,,,,,,,bird;water;   cattle;   shaken fresh water;   standing fresh water,hairs,,,,,,,,,,18,fibrous,deep,50.0-100.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 11, 'tabular': 13}, 'fna': {'text': 4, 'tabular': 0}}"
Montia fontana,perennial;biennials;therophyte;perennials;annuals;annual;biennial,"aquatic;Pools, springs, meadows, other wet or moist places","Floating leaves, attached to the substrate ;mats;Stem ascending to prostrate ;Stem prostrate ;Stem erect ",Shortly creeping and rooting at nodes;rooting horizontal stems at or above soil surface;Seeds;seeds,Stem;Stems,0.02;0.26; 0.02; 0.21;0.5,glabrous,glabrous,Yes,,sessile,opposite,oblanceolate;rhombic;simple;obovate,obtuse,,entire,glabrous,0.15;0.05,0.6;1,0.2,2,cymes,,,,,drooping,white,,white,,hermaphrodite,3;3;3,,,,,,selfed,capsule,,,globose,,,,,,bird;water;   sheep;   shaken fresh water,,black;brown,3,1-10;3,0.7,1.2,0.7,1.2,3,,20,,,0.0-10.0,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 20, 'tabular': 14}, 'fna': {'text': 18, 'tabular': 1}}"
Myosotis laxa,biennial;annuals;hemicryptophyte;annual,Moist or wet eutrophic and mesotrophic grassland,Stem erect ,Stolons;Little or no vegetative spread,Stolons;Stems,0.4;0.3; 0.12; 0.225; 0.2;0.2,pubescent;hairy,hairy,,,,,lanceolate;simple;obtuse,obtuse,,entire,subglabrous,,,,,cyme,,,,,,blue,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,   ant;water;   shaken fresh water,hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 8, 'tabular': 12}, 'fna': {'tabular': 0}}"
Myosotis scorpioides,perennial;perennials;hemicryptophyte,Broadleaved deciduous woodland,"Stem erect ;Emergent, attached to the substrate ;Stem ascending to prostrate ;Submerged, attached to the substrate",stoloniferous;Shortly creeping stolons in illuminated medium;rhizomatous,Stems;stoloniferous;rhizomatous,0.15;0.15-0.45;0.45;0.3; 0.15; 0.385,hairy,hairy,,,,,obovate;lanceolate;simple;attenuate;oblong;obtuse,attenuate;apiculate;obtuse,attenuate,entire,subglabrous,7,7,7,7,,,,,,,blue,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,bird;water;   shaken fresh water;   standing fresh water,hairs,,4,01-Oct,,,,,,,,,,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 12, 'tabular': 14}, 'fna': {'tabular': 0}}"
Myosotis secunda,perennial;hemicryptophyte;annual,,Stem erect ,Rhizomes;stoloniferous;Shortly creeping stolons in illuminated medium;rhizomatous,stoloniferous;stems;rhizomatous;Rhizomes;Stem,0.6;0.2-0.6;0.4; 0.2;0.2,pubescent;hairy,hairy,,,,,lanceolate;simple;ovate;oblong;obtuse,acute;subacute;ovate;obtuse,,entire;ciliate;ovate,hairy,,,,,,,,,,,blue,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 2}, 'ecoflora': {'text': 9, 'tabular': 12}, 'fna': {'tabular': 0}}"
Myosotis stolonifera,perennial;hemicryptophyte,,Stem erect ,stolons;Shortly creeping stolons in illuminated medium,stem;stems;stolons,0.12;0.16; 0.12;0.2,pubescent;soft hairs,soft hairs,,,,,tapering;broad;simple;emarginate;obtuse,emarginate;obtuse,rounded,entire,soft hairs,,,,,,,,,,,blue,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,hairs,,,,,,,,,,,,,,"{'leda': {'tabular': 2}, 'ecoflora': {'text': 9, 'tabular': 12}, 'fna': {'tabular': 0}}"
Myrica gale,phanerophyte,"Coastal and inland swamps, bogs, borders of lakes, ponds, and streams;Raised bogs",Stem erect ;Shrubs;shrub,hypogeogeneous stems;adventitious buds on roots;Buds;suckering;Rhizome far creeping,Stems,0.6;1.55; 1.5; 0.6;2.5,glandular hairs,glandular hairs,,,,Adaxial;distal;alternate,oblanceolate;obovate;obtuse;simple;oblong;cuneate;undulate,obtuse;acute;cuneate,rounded;cuneate,entire;serrate;toothed;cuneate;undulate,soft hairs,0.5,1.5,6;1.5,6;6.5,staminate;pistillate,unisexual,,,,,pale brown,,,,dioecious,,,,,,,wind,,spongy;waxy,,ovoid;flattened,,,,,,   shaken fresh water;water;   commerce,hairs,,,,,,,,,,,,shallow,,"{'leda': {'tabular': 5}, 'ecoflora': {'text': 11, 'tabular': 13}, 'fna': {'text': 14, 'tabular': 1}}"
Nardus stricta,perennial;perennials;hemicryptophyte,Tundra;Alpine and subalpine grasslands,Stem erect ,Tussock forming graminoid;hypogeogeneous stems,,0.4;0.1;0.1; 0.14,,,,,convolute,angles;abaxial;erect;adaxial,convolute;simple,acute,,entire,,0.05,0.1;30,0.05;4,30,,,,,,,green,,,,hermaphrodite,,,,,,,wind,,,,,,,,,,   shaken fresh water;water;   cattle,awned;bristle;awn;awns;hairs,,,,,,,,,,26,fibrous,deep,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 8, 'tabular': 12}, 'fna': {'text': 11, 'tabular': 0}}"
Narthecium ossifragum,perennials;hemicryptophyte,Raised bogs,Stem erect ,hypogeogeneous stems;epigeogeneous stems;rhizomatous;Rhizome shortly creeping;Seeds,stem;Stem;rhizomatous,0.05;0.45;0.165,glabrous,,,,sheathing,opposite,simple;curved,acute;curved,,entire,glabrous,0.2,0.5,5,30,raceme,,,,,,yellow,,,,hermaphrodite,,,,,,,selfed,capsule,,,ovoid,,,,,,   shaken fresh water;water;   commerce,Filaments,,,01-Oct,,,,,,,,fibrous,shallow,10.0-50.0,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 16, 'tabular': 14}, 'fna': {'tabular': 0}}"
Oenanthe crocata,perennial;perennials;geophyte,Coastal habitats,Stem erect ,Little or no vegetative spread,tubers;stem;Stems,0.5;0.3-1.5;1.0; 0.5;1.5,glabrous,glabrous,,,,,compound,obtuse,,lobed and toothed,glabrous,,,,,,,,,,,white,,,,,,,,,,,insect,,,,cylindrical,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 5, 'tabular': 11}, 'fna': {'tabular': 0}}"
Oenanthe lachenalii,perennial;perennials;hemicryptophyte,Coastal saltmarshes and saline reedbeds,Stem erect ,Little or no vegetative spread;epigeogeneous stems,Stem,1.0;0.3-1,glabrous,glabrous,,pinnate,,,lanceolate;compound;pinnate;linear;obtuse,subacute;obtuse,,toothed;linear,glabrous,1.5,5,1.5,5,,,,,,,white,,,,,,,,,,,insect,,,,ovoid,,,,,,   shaken fresh water;water,,,,,,,,,,,,,,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 11}, 'fna': {'tabular': 0}}"
Ononis repens,perennial;perennials;hemicryptophyte,Perennial calcareous grassland and basic steppes,Stem erect ;procumbent;Stem ascending to prostrate ,Rhizomatous;epigeogeneous stems;root-splitters;seeded;Rhizome far creeping,stem;Rhizomatous;Stems,0.6;0.45; 0.3;0.3;0.3-0.6,hairy,hairy,,,,,compound,obtuse,,toothed,glandular hairs,2,2,2,2,racemes,,,,,,pink,,,,hermaphrodite,5;2,,,,,,insect,,,,,,,,,,water,filaments,,4,01-Oct,,,,,,,,,deep,100,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 13, 'tabular': 16}, 'fna': {'tabular': 0}}"
Ophrys insectifera,perennials;geophyte,,Stem erect ,Little or no vegetative spread;root tubers below ground,tubers;Stem,0.6;0.15;0.2,glabrous,glabrous,,,,,oblong;simple,subacute;acute,,entire,,4,12,4,12,spike,,tepals,,,oblong,yellowish;green;purple-brown,,,,hermaphrodite,,,,,,,insect,,,,,,,,,,,,,,,,,,,,,,,,,"{'leda': {'tabular': 4}, 'ecoflora': {'text': 11, 'tabular': 11}, 'fna': {'tabular': 0}}"
Oxalis acetosella,Perennial;perennials;hemicryptophyte,Broadleaved deciduous woodland;Coniferous woodland,Stem erect ,Seeds;Rhizome shortly creeping;epigeogeneous stems,,0.1; 0.085;0.1,,,,,,,compound,emarginate,,entire,hairy,,,,,,,,,,,white,,lilac;white;purple,,hermaphrodite,,,,,,,selfed,,,,,,,,,,   ant;water;   pig,hairs,black,10;2,1-10;2,,,,,2,,,adventitious,shallow,,"{'leda': {'tabular': 6}, 'ecoflora': {'text': 8, 'tabular': 14}, 'fna': {'tabular': 0}}"
